Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
northland community and technical college,1101 Hwy One East Thief River Falls MN 56701,(48.12423 -96.17038),$6052,$6052,232,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,0%,2%,6%,5%,2%,6%,80%
northland pioneer college,2251 E. Navajo Blvd. Holbrook AZ 86025-0610,(34.92809 -110.14156),$2428,$9850,25,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),42%,0%,1%,&lt; 1%,15%,29%,5%,51%
northpoint bible college,320 South Main Street Haverhill MA 01835,(42.7649 -71.07903),$24938,$24938,25,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),69%,5%,1%,6%,14%,1%,5%,72%
northshore technical community college,65556 Centerpoint Blvd. Lacombe LA 70445,(30.37928 -89.8989),$4203,$4203,401,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,0%,1%,33%,5%,1%,2%,57%
northwest arkansas community college,One College Drive Bentonville AR 72712-5091,(36.3572 -94.17284),$4096,$4456,684,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,1%,3%,3%,21%,2%,8%,64%
northwest college,231 W 6th St Powell WY 82435-1898,(44.75956 -108.76077),$11242,$17542,258,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
northwest college of art and design,1126 Pacific Avenue Suite 101 Tacoma WA 98402,(47.25248 -122.43843),$18100,$18100,34,('72%' '69%' '77%'),146,('69%' '31%'),32%,Co-ed,('55%' '45%'),66%,0%,14%,4%,17%,10%,2%,54%
northwest florida state college,100 College Boulevard Niceville FL 32578-1295,(30.53485676179 -86.4718646555),$3191,$11715,402,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
northwest indian college,2522 Kwina Rd Bellingham WA 98226,(48.79382 -122.6177),$9519,$9519,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),45%,0%,1%,&lt; 1%,5%,82%,8%,4%
northwest iowa community college,603 W Park St Sheldon IA 51201,(43.18581 -95.85977),$12958,$13258,245,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,0%,1%,3%,8%,1%,3%,83%
northwest louisiana technical community college,9500 Industrial Drive Minden LA 71055-0000,(32.58583 -93.26265),$4109,$4109,93,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),66%,0%,&lt; 1%,37%,5%,2%,5%,51%
northwest mississippi community college,4975 Hwy 51 N Senatobia MS 38668-1714,(34.62556 -89.96855),$7580,$9980,1402,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),59%,0%,1%,32%,5%,&lt; 1%,3%,58%
northwest missouri state university,800 University Drive Maryville MO 64468,(40.35161 -94.88371),$18400,$24467,964,('86%' '86%' '84%'),7039,('66%' '34%'),16%,Co-ed,('63%' '37%'),78%,4%,1%,6%,4%,&lt; 1%,5%,83%
northwest nazarene university,623 S. University Blvd. Nampa ID 83686,(43.56249 -116.5652),$43990,$43990,275,('88%' '89%' '85%'),2843,('60%' '40%'),11%,Co-ed,('52%' '48%'),76%,1%,3%,1%,14%,1%,6%,77%
northwest state community college,22600 State Route 34 Archbold OH 43502-9542,(41.45004 -84.29962),$4338,$8450,143,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),83%,0%,1%,1%,8%,&lt; 1%,28%,62%
